읍면동,리,주택유형,전용면적,건축연도,빈집등급,데이터기준일 
거창읍,가지리,단독,28.7,1972,3,2025-07-01
거창읍,양평리,단독,56.19,1950,2,2025-07-01
주상면,연교리,단독,77.79,1961,2,2025-07-01
마리면,영승리,그외,40.3,1968,2,2025-07-01
남상면,무촌리,단독,35.73,1945,3,2025-07-01
가조면,마상리,단독,54.17,1925,3,2025-07-01
가조면,장기리,그외,77.9,1962,1,2025-07-01
가조면,일부리,단독,75.68,1945,2,2025-07-01
가조면,도리,그외,45.6,1951,2,2025-07-01
가조면,도리,단독,46.1,1955,2,2025-07-01
거창읍,양평리,그외,,,3,2025-07-01
거창읍,양평리,단독,52.89,1945,2,2025-07-01
가조면,장기리,그외,53.4,1925,2,2025-07-01
가조면,장기리 ,단독,71.73,1997,1,2025-07-01
가조면,장기리,그외,,,1,2025-07-01
가조면,장기리,단독,62.35,1935,2,2025-07-01
남하면,대야리,단독,122.3,1964,2,2025-07-01
북상면,갈계리,단독,35.04,1911,2,2025-07-01
북상면,갈계리,단독,34.38,1975,2,2025-07-01
거창읍,가지리,단독,42.98,1945,2,2025-07-01
북상면,소정리,단독,102.48,1937,2,2025-07-01
신원면,구사리,그외,163.6,1997,2,2025-07-01
가북면,우혜리,단독,24.13,1960,2,2025-07-01
가북면,우혜리,단독,43.96,1914,2,2025-07-01
거창읍,송정리,그외,,,2,2025-07-01
거창읍,송정리,그외,60.5,1945,2,2025-07-01
위천면,상천리,단독,71.9,1930,2,2025-07-01
위천면,상천리,단독,69.4,1961,2,2025-07-01
위천면,강천리,단독,99.5,1997,1,2025-07-01
위천면,강천리,단독,107.5,1950,2,2025-07-01
위천면,강천리,단독,51.6,1915,2,2025-07-01
거창읍,대동리,단독,47.7,1983,2,2025-07-01
거창읍,대동리,단독,56.2,1945,2,2025-07-01
거창읍,상림리,단독,105.79,1978,2,2025-07-01
거창읍,상림리,그외,90.4,1976,2,2025-07-01
거창읍,상림리,단독,90.91,1978,1,2025-07-01
웅양면,산포리,단독,56.4,1968,2,2025-07-01
거창읍,대동리,단독,49.59,1945,2,2025-07-01
거창읍,가지리,단독,33.05,1953,2,2025-07-01
거창읍,가지리,단독,36.36,1945,2,2025-07-01
거창읍,가지리,그외,73.7,1945,2,2025-07-01
웅양면,신촌리,단독,65.5,1946,2,2025-07-01
마리면,말흘리,단독,33.32,1924,3,2025-07-01
거창읍,상림리,단독,72.73,1979,1,2025-07-01
남상면,월평리,단독,95.48,1931,3,2025-07-01
거창읍,김천리,그외,39.6,1972,2,2025-07-01
마리면,영승리,단독,78.52,1942,1,2025-07-01
주상면,거기리,단독,26.58,1925,2,2025-07-01
마리면,하고리,단독,45.32,1960,2,2025-07-01
남상면,전척리,단독,44.33,1961,2,2025-07-01
남상면,전척리,그외,49.56,1956,2,2025-07-01
마리면,고학리,단독,38.18,,2,2025-07-01
가북면,박암리,단독,67.44,1870,2,2025-07-01
가북면,박암리,단독,50.9,1945,3,2025-07-01
신원면,과정리,단독,40.84,1988,2,2025-07-01
남상면,대산리,단독,64.33,1947,2,2025-07-01
거창읍,학리,그외,51.2,1946,2,2025-07-01
거창읍,학리,단독,66.11,1958,2,2025-07-01
신원면,구사리,단독,101.06,2003,2,2025-07-01
거창읍,동변리,그외,55.6,1960,3,2025-07-01
거창읍,동변리,단독,39.67,1945,2,2025-07-01
남상면,대산리,그외,30.21,1984,2,2025-07-01
거창읍,정장리,단독,71.4,1976,2,2025-07-01
거창읍,정장리,단독,70.53,1984,1,2025-07-01
웅양면,군암리,단독,98.7,2003,1,2025-07-01
위천면,남산리,단독,50.9,1940,3,2025-07-01
가조면,기리,단독,135.66,1940,2,2025-07-01
가조면,기리,그외,,,2,2025-07-01
가조면,기리,단독,35.94,1930,2,2025-07-01
가조면,기리,단독,73.04,1930,2,2025-07-01
가조면,기리,단독,96.9,1923,2,2025-07-01
가조면,기리,단독,54.74,1930,2,2025-07-01
가조면,기리,단독,51.84,1993,1,2025-07-01
가조면,기리,그외,50.6,1952,2,2025-07-01
가조면,기리,단독,81.48,1925,2,2025-07-01
가조면,기리,단독,89.1,1945,2,2025-07-01
가조면,기리,그외,,,2,2025-07-01
가조면,기리,그외,102,1960,1,2025-07-01
가조면,기리,단독,58.33,1945,2,2025-07-01
가조면,기리,그외,,,2,2025-07-01
가조면,기리,단독,92.55,1925,2,2025-07-01
가조면,기리,단독,57.11,1925,2,2025-07-01
가조면,기리,그외,,,2,2025-07-01
거창읍,김천리,단독,29.75,1964,3,2025-07-01
거창읍,김천리,단독,26.45,1968,2,2025-07-01
남상면,임불리,단독,43.4,1954,2,2025-07-01
위천면,남산리,그외,136.57,1960,2,2025-07-01
위천면,남산리,단독,41.4,1910,3,2025-07-01
위천면,남산리,단독,40.8,1960,2,2025-07-01
위천면,남산리,단독,89.9,1940,2,2025-07-01
위천면,남산리,단독,71.4,1970,2,2025-07-01
위천면,남산리,그외,73.9,1965,2,2025-07-01
남상면,둔동리,단독,68.82,1964,2,2025-07-01
남상면,둔동리,단독,95.07,1945,2,2025-07-01
남상면,둔동리,단독,91.48,1972,2,2025-07-01
남상면,둔동리,단독,93.29,1961,2,2025-07-01
가북면,몽석리,단독,49.92,1945,2,2025-07-01
가북면,몽석리,단독,53.88,1940,2,2025-07-01
남상면,춘전리,단독,54.41,1958,2,2025-07-01
거창읍,학리,그외,80,2004,1,2025-07-01
북상면,갈계리,그외,75.4,1943,2,2025-07-01
웅양면,노현리,단독,110,1940,1,2025-07-01
웅양면,노현리,그외,96.8,1943,1,2025-07-01
가조면,일부리,그외,57.9,1954,2,2025-07-01
가조면,일부리,단독,77.35,1940,2,2025-07-01
가조면,일부리,단독,70.01,1945,2,2025-07-01
웅양면,죽림리,단독,39.64,1924,2,2025-07-01
북상면,월성리,단독,45.29,1954,2,2025-07-01
