시도,시군구,읍면동,도로명주소,주택 유형,건축물구조,전용면적,건축연도,빈집등급,데이터기준일자
경상남도,함양군,함양읍,경상남도 함양군 함양읍 운림1길 22,단독주택,목구조,73,1955,(구)2등급,2025-07-16
경상남도,함양군,함양읍,경상남도 함양군 함양읍 동위천1길 39-14,단독주택,목구조,56,1955,(신)2등급,2025-07-16
경상남도,함양군,함양읍,경상남도 함양군 함양읍 학사루1길 12,단독주택,경량철골구조,68,1994,(구)2등급,2025-07-16
경상남도,함양군,함양읍,경상남도 함양군 함양읍 동위천1길 43-3,단독주택,목구조,36,1955,(신)2등급,2025-07-16
경상남도,함양군,함양읍,경상남도 함양군 함양읍 운림1길 12-6,단독주택,목구조,46,1955,(구)3등급,2025-07-16
경상남도,함양군,함양읍,경상남도 함양군 함양읍 운림리 278-3,단독주택,목구조,40,1955,(신)2등급,2025-07-16
경상남도,함양군,함양읍,경상남도 함양군 함양읍 상림1길 14-5,단독주택,목구조,64,1974,(신)1등급,2025-07-16
경상남도,함양군,함양읍,경상남도 함양군 함양읍 하림강변길 13-1,단독주택,목구조,93,1960,(구)1등급,2025-07-16
경상남도,함양군,함양읍,경상남도 함양군 함양읍 용평8길 13,단독주택,목구조,31,1971,(신)2등급,2025-07-16
경상남도,함양군,함양읍,경상남도 함양군 함양읍 용평8길 22,단독주택,목구조,53,1970,(구)4등급,2025-07-16
경상남도,함양군,함양읍,경상남도 함양군 함양읍 용평1길 16-26,단독주택,목구조,36,1960,(신)2등급,2025-07-16
경상남도,함양군,함양읍,경상남도 함양군 함양읍 학사루3길 27,단독주택,목구조,26,1960,(구)3등급,2025-07-16
경상남도,함양군,함양읍,경상남도 함양군 함양읍 용평6길 4-7,단독주택,목구조,30,1960,(구)2등급,2025-07-16
경상남도,함양군,함양읍,경상남도 함양군 함양읍 용평7길 24-2,단독주택,목구조,89,1960,(신)2등급,2025-07-16
경상남도,함양군,함양읍,경상남도 함양군 함양읍 대병길 49-2,단독주택,목구조,51,1984,(구)3등급,2025-07-16
경상남도,함양군,함양읍,경상남도 함양군 함양읍 대병길 45-8,단독주택,목구조,46,1940,(신)3등급,2025-07-16
경상남도,함양군,함양읍,경상남도 함양군 함양읍 죽장안길 4,단독주택,목구조,102,1940,(신)2등급,2025-07-16
경상남도,함양군,함양읍,경상남도 함양군 함양읍 교산2길 11,단독주택,벽돌구조,83,1979,(신)2등급,2025-07-16
경상남도,함양군,함양읍,경상남도 함양군 함양읍 교산샛길 17-8,단독주택,목구조,75,1982,(구)1등급,2025-07-16
경상남도,함양군,함양읍,경상남도 함양군 함양읍 뇌계길 72,단독주택,목구조,43,1940,(구)2등급,2025-07-16
