시도명,시군구명,읍면동,리,건축물구조,건물용도,조사기준일,관리기관명,관리기관전화번호,데이터기준일
경상북도,청송군,청송읍,월막리,일반목구조,단독주택,2022-08-31,경상북도 청송군청,054-870-6357,2025-07-11
경상북도,청송군,청송읍,월막리,블록구조,단독주택,2022-08-31,경상북도 청송군청,054-870-6357,2025-07-11
경상북도,청송군,청송읍,월막리,일반목구조,단독주택,2022-08-31,경상북도 청송군청,054-870-6357,2025-07-11
경상북도,청송군,청송읍,월막리,일반철골구조,단독주택,2022-08-31,경상북도 청송군청,054-870-6357,2025-07-11
경상북도,청송군,청송읍,덕리,블록구조,그 외,2022-08-31,경상북도 청송군청,054-870-6357,2025-07-11
경상북도,청송군,청송읍,금곡리,블록구조,단독주택,2022-08-31,경상북도 청송군청,054-870-6357,2025-07-11
경상북도,청송군,청송읍,금곡리,일반목구조,단독주택,2022-08-31,경상북도 청송군청,054-870-6357,2025-07-11
경상북도,청송군,청송읍,청운리,일반목구조,단독주택,2022-08-31,경상북도 청송군청,054-870-6357,2025-07-11
경상북도,청송군,청송읍,청운리,"블록,판넬",그 외,2022-08-31,경상북도 청송군청,054-870-6357,2025-07-11
경상북도,청송군,청송읍,청운리,블록구조,단독주택,2022-08-31,경상북도 청송군청,054-870-6357,2025-07-11
경상북도,청송군,청송읍,송생리,일반목구조,단독주택,2022-08-31,경상북도 청송군청,054-870-6357,2025-07-11
경상북도,청송군,청송읍,송생리,일반목구조,그 외,2022-08-31,경상북도 청송군청,054-870-6357,2025-07-11
경상북도,청송군,청송읍,송생리,일반목구조,그 외,2022-08-31,경상북도 청송군청,054-870-6357,2025-07-11
경상북도,청송군,청송읍,송생리,일반목구조,그 외,2022-08-31,경상북도 청송군청,054-870-6357,2025-07-11
경상북도,청송군,청송읍,송생리,벽돌구조,그 외,2022-08-31,경상북도 청송군청,054-870-6357,2025-07-11
경상북도,청송군,청송읍,송생리,일반목구조,그 외,2022-08-31,경상북도 청송군청,054-870-6357,2025-07-11
경상북도,청송군,청송읍,송생리,,그 외,2022-08-31,경상북도 청송군청,054-870-6357,2025-07-11
경상북도,청송군,청송읍,교리,일반목구조,단독주택,2022-08-31,경상북도 청송군청,054-870-6357,2025-07-11
경상북도,청송군,청송읍,거대리,일반목구조,그 외,2022-08-31,경상북도 청송군청,054-870-6357,2025-07-11
경상북도,청송군,청송읍,월외리,블록구조,그 외,2022-08-31,경상북도 청송군청,054-870-6357,2025-07-11
경상북도,청송군,청송읍,월외리,일반목구조,단독주택,2022-08-31,경상북도 청송군청,054-870-6357,2025-07-11
경상북도,청송군,청송읍,월외리,조립식판넬,그 외,2022-08-31,경상북도 청송군청,054-870-6357,2025-07-11
경상북도,청송군,주왕산면,신점리,,그 외,2022-08-31,경상북도 청송군청,054-870-6357,2025-07-11
경상북도,청송군,주왕산면,신점리,,그 외,2022-08-31,경상북도 청송군청,054-870-6357,2025-07-11
경상북도,청송군,주왕산면,신점리,일반목구조,단독주택,2022-08-31,경상북도 청송군청,054-870-6357,2025-07-11
경상북도,청송군,주왕산면,신점리,,그 외,2022-08-31,경상북도 청송군청,054-870-6357,2025-07-11
경상북도,청송군,주왕산면,신점리,,그 외,2022-08-31,경상북도 청송군청,054-870-6357,2025-07-11
경상북도,청송군,주왕산면,신점리,,그 외,2022-08-31,경상북도 청송군청,054-870-6357,2025-07-11
경상북도,청송군,주왕산면,주산지리,,그 외,2022-08-31,경상북도 청송군청,054-870-6357,2025-07-11
경상북도,청송군,주왕산면,주산지리,일반목구조,단독주택,2022-08-31,경상북도 청송군청,054-870-6357,2025-07-11
경상북도,청송군,주왕산면,주산지리,벽돌구조,단독주택,2022-08-31,경상북도 청송군청,054-870-6357,2025-07-11
경상북도,청송군,주왕산면,주산지리,,그 외,2022-08-31,경상북도 청송군청,054-870-6357,2025-07-11
경상북도,청송군,주왕산면,주산지리,,그 외,2022-08-31,경상북도 청송군청,054-870-6357,2025-07-11
경상북도,청송군,주왕산면,라리,,그 외,2022-08-31,경상북도 청송군청,054-870-6357,2025-07-11
경상북도,청송군,주왕산면,라리,,그 외,2022-08-31,경상북도 청송군청,054-870-6357,2025-07-11
경상북도,청송군,주왕산면,라리,블록구조,단독주택,2022-08-31,경상북도 청송군청,054-870-6357,2025-07-11
경상북도,청송군,주왕산면,라리,,그 외,2022-08-31,경상북도 청송군청,054-870-6357,2025-07-11
경상북도,청송군,주왕산면,라리,경량철골 구조,단독주택,2022-08-31,경상북도 청송군청,054-870-6357,2025-07-11
경상북도,청송군,부남면,감연리,,단독주택,2022-08-31,경상북도 청송군청,054-870-6357,2025-07-11
경상북도,청송군,부남면,감연리,,단독주택,2022-08-31,경상북도 청송군청,054-870-6357,2025-07-11
경상북도,청송군,부남면,감연리,일반목구조,단독주택,2022-08-31,경상북도 청송군청,054-870-6357,2025-07-11
경상북도,청송군,부남면,대전리,일반목구조,단독주택,2022-08-31,경상북도 청송군청,054-870-6357,2025-07-11
경상북도,청송군,부남면,대전리,,단독주택,2022-08-31,경상북도 청송군청,054-870-6357,2025-07-11
경상북도,청송군,부남면,대전리,블록구조,단독주택,2022-08-31,경상북도 청송군청,054-870-6357,2025-07-11
경상북도,청송군,부남면,대전리,일반목구조,단독주택,2022-08-31,경상북도 청송군청,054-870-6357,2025-07-11
