연번,행정동,구조,연면적,층_동,등급,농촌지역여부,데이터기준일자
1,송정1동,세멘벽돌조,64.47,1층/2동,2등급,도시지역,2025-05-27
2,송정1동,목조,242.68,1층/4동,1등급,도시지역,2025-05-27
3,송정1동,블럭조,133.55,1층/1동,2등급,도시지역,2025-05-27
4,송정1동,,,,3등급,도시지역,2025-05-27
5,송정1동,철근콘크리트조,61.2,1층/1동,2등급,도시지역,2025-05-27
6,송정1동,세멘부로크조,30.74,1층/1동,2등급,도시지역,2025-05-27
7,송정1동,세면부록조,39.33,1층/1동,2등급,도시지역,2025-05-27
8,송정1동,목조,42.97,1층/1동,3등급,도시지역,2025-05-27
9,송정1동,세면부록조,75.36,1층/1동,2등급,도시지역,2025-05-27
10,송정1동,세벽조,105.76,2층/1동,2등급,도시지역,2025-05-27
11,송정1동,연와조+블럭조,76.42,1층/3동,2등급,도시지역,2025-05-27
12,송정1동,세멘블럭조,60.3,1층/2동,2등급,도시지역,2025-05-27
13,송정1동,시멘트벽돌조,64.17,1층/1동,1등급,도시지역,2025-05-27
14,송정1동,목조,51.6,1층/2동,3등급,도시지역,2025-05-27
15,송정2동,세멘부록조,82.64,1층/2동,2등급,도시지역,2025-05-27
16,송정2동,적벽돌조,107.55,2층/2동,2등급,도시지역,2025-05-27
17,송정2동,목조,30.74,1층/1동,4등급,도시지역,2025-05-27
18,송정2동,,,,4등급,도시지역,2025-05-27
19,송정2동,목조+세면부록조,28.43+47.6,1층/1동+1층/2동,2등급,도시지역,2025-05-27
20,송정2동,목조,68.31,1층/2동,3등급,도시지역,2025-05-27
21,송정2동,목조,40.99,1층/1동,2등급,도시지역,2025-05-27
22,송정2동,목조,37.02,1층/1동,3등급,도시지역,2025-05-27
23,송정2동,목조,26.78,1층/1동,4등급,도시지역,2025-05-27
24,송정1동,연와조+세면부록조,56.76,1층/2동,2등급,도시지역,2025-05-27
25,송정1동,연와조,54.36,1층/1동,3등급,도시지역,2025-05-27
26,송정1동,시멘벽돌조,59.58,1층/2동,2등급,도시지역,2025-05-27
27,송정1동,조적조,67.97,1층/1동,1등급,도시지역,2025-05-27
28,송정1동,연와조+세면부록조,70.41,2층/2동,2등급,도시지역,2025-05-27
29,송정1동,연와조+세면벽돌조,56.19,1층/2동,2등급,도시지역,2025-05-27
30,송정1동,시멘벽돌조,87.73,1층/3동,2등급,도시지역,2025-05-27
31,송정1동,세벽돌조,42.27,1층/1동,1등급,도시지역,2025-05-27
32,송정1동,세벽돌조+세브럭조,69.465,1층/3동,1등급,도시지역,2025-05-27
33,송정1동,세멘벽돌조,271.06,2층/1동,2등급,도시지역,2025-05-27
34,송정1동,세멘부럭조,62.8,1층/2동,4등급,도시지역,2025-05-27
35,송정1동,부록조+세멘벽돌조,50.24,1층/2동,2등급,도시지역,2025-05-27
36,송정1동,목조,53.88,1층/2동,4등급,도시지역,2025-05-27
37,송정1동,목조,90.56,1층/3동,4등급,도시지역,2025-05-27
38,송정1동,연와조,78.67,1층/2동,2등급,도시지역,2025-05-27
39,송정2동,세부록조,48.26,1층/1동,2등급,도시지역,2025-05-27
40,송정2동,연와조,96.86,2층/2동,2등급,도시지역,2025-05-27
41,송정2동,,,,2등급,도시지역,2025-05-27
42,송정2동,목조+세부록조,66.78,1층/2동,2등급,도시지역,2025-05-27
43,송정2동,세멘벽돌조,130.58,2층/2동,1등급,도시지역,2025-05-27
44,송정2동,목조,133.55,1층/2동,2등급,도시지역,2025-05-27
45,송정2동,세멘벽돌조,130.52,2층/2동,2등급,도시지역,2025-05-27
46,송정2동,세면부록조,48.26,1층/1동,3등급,도시지역,2025-05-27
47,송정2동,적벽돌조,61.16,1층/2동,2등급,도시지역,2025-05-27
48,송정2동,연와조+세면부록조,87.6,1층/2동,1등급,도시지역,2025-05-27
49,송정2동,연와조,61.92,2층/2동,2등급,도시지역,2025-05-27
50,송정2동,목조,32.06,1층/1동,1등급,도시지역,2025-05-27
51,송정2동,목조,26.44,1층/1동,1등급,도시지역,2025-05-27
52,송정2동,세부조,78.67,1층/1동,2등급,도시지역,2025-05-27
53,송정2동,목조,41.32,1층/1동,2등급,도시지역,2025-05-27
54,송정2동,일반목구조,101.81,1층/1동,4등급,도시지역,2025-05-27
55,송정2동,목조,26.44,1층/1동,2등급,도시지역,2025-05-27
56,송정2동,목조,46.8,1층/1동,4등급,도시지역,2025-05-27
57,송정2동,세멘벽돌조,231.04,1층/3동,2등급,도시지역,2025-05-27
58,송정2동,연와조+세면부록조,54.87,1층/2동,3등급,도시지역,2025-05-27
59,송정2동,연와조+세면부록조,59.83,1층/2동,2등급,도시지역,2025-05-27
60,송정2동,연와조,56.86,1층/1동,2등급,도시지역,2025-05-27
61,송정2동,목조,15.54,1층/1동,1등급,도시지역,2025-05-27
62,송정2동,목조,64.79,1층/2동,1등급,도시지역,2025-05-27
63,송정2동,연와조+세면부록조,74.4,1층/3동,2등급,도시지역,2025-05-27
64,송정2동,목조+세면부록조,87.59,1층/2동,3등급,도시지역,2025-05-27
65,도산동,,,,4등급,도시지역,2025-05-27
66,도산동,,,,3등급,도시지역,2025-05-27
67,도산동,목조,53.19,1층/2동,3등급,도시지역,2025-05-27
68,도산동,목조,69.42,1층/2동,4등급,도시지역,2025-05-27
69,도산동,목조,79.32,1층/2동,2등급,도시지역,2025-05-27
70,도산동,목조,49.58,1층/1동,2등급,도시지역,2025-05-27
71,도산동,,,,3등급,도시지역,2025-05-27
72,도산동,목조,26.44,1층/1동,2등급,도시지역,2025-05-27
73,도산동,목조,42.97,1층/1동,2등급,도시지역,2025-05-27
74,도산동,목조,29.75,1층/1동,3등급,도시지역,2025-05-27
75,도산동,목조,23.14,1층/1동,3등급,도시지역,2025-05-27
76,도산동,목조,66.11,1층/1동,4등급,도시지역,2025-05-27
77,도산동,목조,33.05,1층/1동,2등급,도시지역,2025-05-27
78,도산동,목조,49.58,1층/2동,2등급,도시지역,2025-05-27
79,도산동,목조,65.78,1층/2동,3등급,도시지역,2025-05-27
80,도산동,목조,23.14,1층/1동,2등급,도시지역,2025-05-27
81,도산동,목조,42.97,1층/1동,3등급,도시지역,2025-05-27
82,도산동,,,,2등급,도시지역,2025-05-27
83,도산동,,,,3등급,도시지역,2025-05-27
84,도산동,목조+시멘브럭조,50.4,1층/2동,3등급,도시지역,2025-05-27
85,도산동,,,,3등급,도시지역,2025-05-27
86,도산동,,,,4등급,도시지역,2025-05-27
87,도산동,블록구조,37.35,1층/1동,2등급,도시지역,2025-05-27
88,도산동,시멘브럭조,72.4,1층/2동,2등급,도시지역,2025-05-27
89,도산동,연와조+세멘벽돌조+세부록조,107.76,1층/3동,2등급,도시지역,2025-05-27
90,도산동,세멘벽돌조,102.99,2층/2동,1등급,도시지역,2025-05-27
91,도산동,적벽돌조+시멘벽돌조+시멘블럭조,87.21,1층/4동,1등급,도시지역,2025-05-27
92,도산동,시멘트블럭조,13.88,1층/1동,2등급,도시지역,2025-05-27
93,도산동,부록조,33.72,1층/1동,1등급,도시지역,2025-05-27
