연 번,시도,시군구,동명,사용승인,유형,기준일자
1,서울특별시,중랑구,중화동,1967,다가구,2024-07-31
2,서울특별시,중랑구,중화동 ,1975,다가구,2024-07-31
3,서울특별시,중랑구,중화동 ,2017,다세대,2024-07-31
4,서울특별시,중랑구,중화동 ,1976,연립,2024-07-31
5,서울특별시,중랑구,중화동,1971,단독,2024-07-31
6,서울특별시,중랑구,중화동,2012,다세대,2024-07-31
7,서울특별시,중랑구,중화동 ,1981,그 외,2024-07-31
8,서울특별시,중랑구,중화동,1986,다세대,2024-07-31
9,서울특별시,중랑구,중화동 ,1976,단독,2024-07-31
10,서울특별시,중랑구,신내동 ,1963,단독,2024-07-31
11,서울특별시,중랑구,신내동,1994,다세대,2024-07-31
12,서울특별시,중랑구,신내동,1997,다가구,2024-07-31
13,서울특별시,중랑구,신내동 ,1985,단독,2024-07-31
14,서울특별시,중랑구,상봉동,1976,그 외,2024-07-31
15,서울특별시,중랑구,상봉동,1991,다세대,2024-07-31
16,서울특별시,중랑구,상봉동 ,1992,다가구,2024-07-31
17,서울특별시,중랑구,상봉동 ,1985,단독,2024-07-31
18,서울특별시,중랑구,상봉동 ,2003,아파트,2024-07-31
19,서울특별시,중랑구,상봉동 ,1991,다세대,2024-07-31
20,서울특별시,중랑구,묵동 ,1975,아파트,2024-07-31
21,서울특별시,중랑구,묵동 ,1976,단독,2024-07-31
22,서울특별시,중랑구,묵동 ,1992,다가구,2024-07-31
23,서울특별시,중랑구,묵동 ,1993,다가구,2024-07-31
24,서울특별시,중랑구,묵동 ,1977,다가구,2024-07-31
25,서울특별시,중랑구,묵동 ,2002,다가구,2024-07-31
26,서울특별시,중랑구,묵동 ,1977,단독,2024-07-31
27,서울특별시,중랑구,묵동 ,1977,단독,2024-07-31
28,서울특별시,중랑구,묵동 ,2014,다세대,2024-07-31
29,서울특별시,중랑구,묵동 ,2014,다세대,2024-07-31
30,서울특별시,중랑구,묵동 ,2014,다세대,2024-07-31
31,서울특별시,중랑구, 면목동,1977,연립,2024-07-31
32,서울특별시,중랑구,면목동 ,1969,단독,2024-07-31
33,서울특별시,중랑구,면목동 ,1971,단독,2024-07-31
34,서울특별시,중랑구,면목동 ,1977,다가구,2024-07-31
35,서울특별시,중랑구,면목동 ,1970,단독,2024-07-31
36,서울특별시,중랑구,면목동 ,1970,단독,2024-07-31
37,서울특별시,중랑구,면목동 ,1969,단독,2024-07-31
38,서울특별시,중랑구,면목동 ,1972,단독,2024-07-31
39,서울특별시,중랑구,면목동 ,1970,다가구,2024-07-31
40,서울특별시,중랑구,면목동 ,1970,단독,2024-07-31
41,서울특별시,중랑구, 면목동,1986,다세대,2024-07-31
42,서울특별시,중랑구,면목동 ,1969,단독,2024-07-31
43,서울특별시,중랑구,면목동 ,1974,단독,2024-07-31
44,서울특별시,중랑구,면목동 ,1974,단독,2024-07-31
45,서울특별시,중랑구,면목동 ,1978,단독,2024-07-31
46,서울특별시,중랑구, 면목동,1980,단독,2024-07-31
47,서울특별시,중랑구,면목동 ,1973,단독,2024-07-31
48,서울특별시,중랑구,면목동 ,1984,연립,2024-07-31
49,서울특별시,중랑구,면목동 ,1984,연립,2024-07-31
50,서울특별시,중랑구,면목동 ,1984,연립,2024-07-31
51,서울특별시,중랑구,면목동 ,1984,연립,2024-07-31
52,서울특별시,중랑구,면목동 ,1984,연립,2024-07-31
53,서울특별시,중랑구,면목동 ,1984,연립,2024-07-31
54,서울특별시,중랑구,면목동 ,1995,다세대,2024-07-31
55,서울특별시,중랑구,면목동,1979,연립,2024-07-31
56,서울특별시,중랑구,면목동,1979,연립,2024-07-31
57,서울특별시,중랑구,면목동,1979,연립,2024-07-31
58,서울특별시,중랑구,면목동,1979,연립,2024-07-31
59,서울특별시,중랑구,면목동,1979,연립,2024-07-31
60,서울특별시,중랑구,면목동 ,,그 외,2024-07-31
61,서울특별시,중랑구,면목동,1979,다세대,2024-07-31
62,서울특별시,중랑구,면목동 ,1969,단독,2024-07-31
63,서울특별시,중랑구,망우동 ,1972,단독,2024-07-31
64,서울특별시,중랑구,망우동 ,1993,다세대,2024-07-31
65,서울특별시,중랑구,망우동 ,1972,단독,2024-07-31
66,서울특별시,중랑구,망우동 ,1971,다가구,2024-07-31
67,서울특별시,중랑구,망우동 ,1969,다가구,2024-07-31
68,서울특별시,중랑구,망우동 ,1990,연립,2024-07-31
69,서울특별시,중랑구,망우동 ,1993,다가구,2024-07-31
70,서울특별시,중랑구,망우동 ,2016,다세대,2024-07-31
71,서울특별시,중랑구,망우동 ,1976,단독,2024-07-31
72,서울특별시,중랑구,망우동 ,2016,다세대,2024-07-31
73,서울특별시,중랑구,망우동 ,1986,다세대,2024-07-31
74,서울특별시,중랑구,망우동 ,1988,다세대,2024-07-31
75,서울특별시,중랑구,망우동 ,1987,다세대,2024-07-31
76,서울특별시,중랑구,망우동 ,1987,다세대,2024-07-31
77,서울특별시,중랑구,망우동 ,1987,다세대,2024-07-31
78,서울특별시,중랑구,망우동 ,1983,단독,2024-07-31
